N,rv,rg,z,time,interaction_type,id_merger,mass_merger,id1,m1,id2,m2,id3,m3,id4,m4,r,typem,type1,type2,type3,type4,b[RSUN],vinf[km/s]
16.0,0.5,2.0,0.002,4.06814665344,single-single,1684083,30.9934,1684081,30.9934,1716160,108.214,-100,-100,-100,-100,0.0265739,14,14,4,-100,-100,1716.47,106.657
16.0,0.5,2.0,0.002,5.25263155584,single-single,1747846,19.0864,1747844,19.0864,3097671,16.9034,-100,-100,-100,-100,0.179734,14,14,4,-100,-100,3276.2,64.4129
16.0,0.5,2.0,0.002,6.08267314896,single-single,1952209,14.5638,1952207,14.5638,2104645,24.5401,-100,-100,-100,-100,0.0972678,14,14,4,-100,-100,3989.61,93.1525
16.0,0.5,2.0,0.002,6.30580774512,single-single,1832131,24.7813,1890005,24.7813,1832129,61.0868,-100,-100,-100,-100,0.104742,14,14,4,-100,-100,4988.39,66.9465
16.0,0.5,2.0,0.002,6.39759824928,single-single,1698321,14.7727,1765865,14.7727,1698319,83.149,-100,-100,-100,-100,0.150541,14,14,4,-100,-100,6566.31,115.574
16.0,0.5,2.0,0.002,6.426838893599999,single-single,1976081,13.2229,2065939,13.2229,1976079,76.9945,-100,-100,-100,-100,0.194126,14,14,4,-100,-100,11014.3,44.4487
16.0,0.5,2.0,0.002,6.6703782588,single-single,1766485,12.8315,1822482,12.8315,1766483,14.6541,-100,-100,-100,-100,0.0898454,14,14,4,-100,-100,1141.13,81.1334
16.0,0.5,2.0,0.002,6.7306550256,single-single,1692125,13.2229,1976081,13.2229,1692123,77.3083,-100,-100,-100,-100,0.103872,14,14,4,-100,-100,6933.19,74.8223
16.0,0.5,2.0,0.002,6.73477666512,single-single,1747848,19.0864,1747846,19.0864,1813916,23.3319,-100,-100,-100,-100,0.245962,14,14,4,-100,-100,367.027,56.0444
16.0,0.5,2.0,0.002,6.85104050952,single-single,1863723,15.9467,1863721,15.9467,1947221,92.3354,-100,-100,-100,-100,0.155393,14,14,4,-100,-100,5160.4,89.4479
16.0,0.5,2.0,0.002,6.9182515368,single-single,1756375,13.0987,1776627,13.0987,1756373,54.3206,-100,-100,-100,-100,0.135802,14,14,4,-100,-100,1389.35,67.111
16.0,0.5,2.0,0.002,6.97913858928,single-single,1733732,13.1514,1808525,13.1514,1733730,21.424,-100,-100,-100,-100,0.0924781,14,14,4,-100,-100,2682.86,43.6096
16.0,0.5,2.0,0.002,7.111871302320001,single-single,1720996,11.4884,1720994,11.4884,1756545,34.5764,-100,-100,-100,-100,0.164117,14,14,4,-100,-100,4030.24,35.7834
16.0,0.5,2.0,0.002,7.24492242528,single-single,1747745,13.4592,1839462,13.4592,1747743,18.6444,-100,-100,-100,-100,0.1924,14,14,5,-100,-100,3399.22,58.9962
16.0,0.5,2.0,0.002,7.486383281279999,single-single,1687670,22.2973,1702732,22.2973,1687668,84.2857,-100,-100,-100,-100,0.117488,14,14,4,-100,-100,4726.88,122.965
16.0,0.5,2.0,0.002,7.56693214632,binary-single,1687366,29.0753,1790588,29.0753,1687364,24.6554,-100,-100,-100,-100,0.0784014,14,14,4,-100,-100,-100,-100
16.0,0.5,2.0,0.002,7.669292090879999,single-single,1704804,35.8017,1704802,35.8017,1708193,13.4509,-100,-100,-100,-100,0.339884,14,14,5,-100,-100,12763.9,16.6946
16.0,0.5,2.0,0.002,7.8813973212,single-single,1927223,16.1244,1986071,16.1244,1927221,91.7199,-100,-100,-100,-100,0.0475095,14,14,4,-100,-100,10228.9,29.783
16.0,0.5,2.0,0.002,7.8970524756,single-single,1732415,34.9474,1732413,34.9474,1813938,58.2754,-100,-100,-100,-100,0.0734505,14,14,4,-100,-100,7249.37,29.4565
16.0,0.5,2.0,0.002,8.03854146144,single-single,1687672,22.2973,1687670,22.2973,1752352,20.8595,-100,-100,-100,-100,0.160154,14,14,4,-100,-100,3549.83,50.6544
16.0,0.5,2.0,0.002,8.21517051984,single-single,1687540,21.8458,1687538,21.8458,1876874,55.9588,-100,-100,-100,-100,0.0580145,14,14,4,-100,-100,5199.76,87.2565
16.0,0.5,2.0,0.002,9.5795393376,single-single,1772290,28.4725,1772288,28.4725,1811973,19.0579,-100,-100,-100,-100,0.0389541,14,14,4,-100,-100,4026.07,38.0648
16.0,0.5,2.0,0.002,9.6954051696,binary-single,1876379,17.8006,1244566,17.8006,1876378,20.7371,-100,-100,-100,-100,0.23233,14,14,4,-100,-100,-100,-100
16.0,0.5,2.0,0.002,9.8969763384,single-single,1775388,12.6556,1775386,12.6556,2326442,35.0171,-100,-100,-100,-100,0.0800411,14,14,4,-100,-100,2443.58,51.6956
16.0,0.5,2.0,0.002,10.075462788000001,single-single,1928392,13.9998,2181304,13.9998,1928390,68.2207,-100,-100,-100,-100,0.0735636,14,14,4,-100,-100,7299.03,60.4815
16.0,0.5,2.0,0.002,10.2711079944,binary-single,1717944,30.3662,1717942,30.3662,1751291,124.153,-100,-100,-100,-100,0.0607104,14,14,4,-100,-100,-100,-100
16.0,0.5,2.0,0.002,11.9362149816,single-single,1695581,29.6714,1760811,29.6714,1695579,21.8555,-100,-100,-100,-100,0.0507752,14,14,4,-100,-100,4674.82,30.3303
16.0,0.5,2.0,0.002,12.513156067199999,single-single,1710713,38.6616,1710711,38.6616,2132482,80.8312,-100,-100,-100,-100,0.110347,14,14,4,-100,-100,9753.82,36.4485
16.0,0.5,2.0,0.002,12.542255196,single-single,1706784,16.646,777549,16.646,1706783,22.3719,-100,-100,-100,-100,0.244532,14,14,4,-100,-100,3788.65,21.5962
16.0,0.5,2.0,0.002,12.6323828928,single-single,1697045,23.1352,1697043,23.1352,1703203,67.3879,-100,-100,-100,-100,0.149363,14,14,4,-100,-100,7319.69,49.7349
16.0,0.5,2.0,0.002,13.1417503176,single-single,1725742,15.3012,45741,15.3012,1826107,73.4254,-100,-100,-100,-100,0.125841,14,14,4,-100,-100,31340.1,10.5074
16.0,0.5,2.0,0.002,13.2602695656,single-single,1729218,17.025,1336938,17.025,1729217,38.1164,-100,-100,-100,-100,0.159311,14,14,4,-100,-100,13477.7,23.8163
16.0,0.5,2.0,0.002,13.387810428,single-single,1723802,13.8863,1771413,13.8863,1723800,58.5767,-100,-100,-100,-100,0.147029,14,14,4,-100,-100,5809.2,58.7612
16.0,0.5,2.0,0.002,13.6141468128,single-single,2203114,14.8953,2391717,14.8953,2203112,13.6026,-100,-100,-100,-100,0.187666,14,14,4,-100,-100,307.187,37.0354
16.0,0.5,2.0,0.002,13.8020086656,single-single,1703362,12.9902,1703360,12.9902,2035066,76.0454,-100,-100,-100,-100,0.0704145,14,14,4,-100,-100,4300.05,93.3076
16.0,0.5,2.0,0.002,14.744502028799998,single-single,1684956,18.9032,2153314,18.9032,1684954,23.6123,-100,-100,-100,-100,0.131906,14,14,4,-100,-100,1624.96,47.641
16.0,0.5,2.0,0.002,15.2247703248,single-single,1708697,13.2843,1922821,13.2843,1708695,92.155,-100,-100,-100,-100,0.10167,14,14,4,-100,-100,20049.2,23.2059
16.0,0.5,2.0,0.002,15.743336258400001,single-single,1721163,18.3418,1721161,18.3418,1772893,39.9327,-100,-100,-100,-100,0.197365,14,14,4,-100,-100,27381.9,12.3065
16.0,0.5,2.0,0.002,17.277718284,single-single,1683824,24.3246,1683822,24.3246,1697680,93.6532,-100,-100,-100,-100,0.0561052,14,14,4,-100,-100,77809.9,7.18693
